target,label,precision,recall,f1-score,support
y2,Problem/Fault,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0
y2,Suggestion,0.875,0.7368421052631579,0.8,19.0
y2,macro avg,0.7904411764705883,0.7969924812030075,0.7870967741935484,33.0
y2,weighted avg,0.80325311942959,0.7878787878787878,0.7890518084066471,33.0
y3,AppGallery-Install/Upgrade,1.0,1.0,1.0,3.0
y3,AppGallery-Use,1.0,0.6666666666666666,0.8,3.0
y3,Coupon/Gifts/Points Issues,0.7142857142857143,1.0,0.8333333333333334,5.0
y3,General,0.5,1.0,0.6666666666666666,1.0
y3,Invoice,0.25,0.5,0.3333333333333333,2.0
y3,Payment,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
y3,Payment issue,1.0,0.5,0.6666666666666666,2.0
y3,Third Party APPs,1.0,1.0,1.0,2.0
y3,VIP / Offers / Promotions,1.0,1.0,1.0,3.0
y3,macro avg,0.8046737213403881,0.8055555555555556,0.7740740740740741,33.0
y3,weighted avg,0.8152958152958153,0.7575757575757576,0.7646464646464647,33.0
y4,Can't install Apps,1.0,1.0,1.0,1.0
y4,Can't update Apps,1.0,1.0,1.0,1.0
y4,Can't use or acquire,0.75,0.75,0.75,4.0
y4,Cooperated campaign issue,0.3333333333333333,1.0,0.5,1.0
y4,Invoice related request,0.25,0.5,0.3333333333333333,2.0
y4,Offers / Vouchers / Promotions,1.0,1.0,1.0,3.0
y4,Other download/install/update issue,1.0,1.0,1.0,1.0
y4,Others,0.6666666666666666,1.0,0.8,2.0
y4,Personal data,0.0,0.0,0.0,1.0
y4,Query deduction details,0.0,0.0,0.0,1.0
y4,Refund,1.0,1.0,1.0,2.0
y4,Risk Control,0.3333333333333333,0.5,0.4,2.0
y4,Subscription cancellation,0.5714285714285714,0.36363636363636365,0.4444444444444444,11.0
y4,UI Abnormal in Huawei AppGallery,1.0,1.0,1.0,1.0
y4,macro avg,0.6360544217687075,0.7224025974025974,0.6591269841269841,33.0
y4,weighted avg,0.63997113997114,0.6363636363636364,0.6198653198653199,33.0
