target,label,precision,recall,f1-score,support
y2,Others,0.8,0.4444444444444444,0.5714285714285714,9.0
y2,Problem/Fault,0.7222222222222222,0.9285714285714286,0.8125,14.0
y2,Suggestion,0.0,0.0,0.0,1.0
y2,macro avg,0.5074074074074074,0.4576719576719577,0.4613095238095238,24.0
y2,weighted avg,0.7212962962962962,0.7083333333333334,0.6882440476190476,24.0
y3,AppGallery-Install/Upgrade,0.5,0.5,0.5,2.0
y3,AppGallery-Use,1.0,0.5,0.6666666666666666,2.0
y3,Coupon/Gifts/Points Issues,0.875,1.0,0.9333333333333333,7.0
y3,Not Applicable,0.8,0.8888888888888888,0.8421052631578947,9.0
y3,Third Party APPs,1.0,0.6666666666666666,0.8,3.0
y3,VIP / Offers / Promotions,1.0,1.0,1.0,1.0
y3,macro avg,0.8624999999999999,0.7592592592592592,0.7903508771929824,24.0
y3,weighted avg,0.8468749999999999,0.8333333333333334,0.8269005847953217,24.0
y4,Can't update Apps,0.0,0.0,0.0,1.0
y4,Can't use or acquire,0.7142857142857143,1.0,0.8333333333333334,5.0
y4,Cooperated campaign issue,1.0,0.5,0.6666666666666666,2.0
y4,Not Applicable,0.7272727272727273,0.8888888888888888,0.8,9.0
y4,Offers / Vouchers / Promotions,0.5,1.0,0.6666666666666666,1.0
y4,Other download/install/update issue,0.0,0.0,0.0,1.0
y4,Refund,1.0,0.3333333333333333,0.5,3.0
y4,UI Abnormal in Huawei AppGallery,1.0,0.5,0.6666666666666666,2.0
y4,macro avg,0.6176948051948052,0.5277777777777778,0.5166666666666666,24.0
y4,weighted avg,0.7340367965367965,0.7083333333333334,0.6749999999999999,24.0
