,Can't install Apps,Can't update Apps,Can't use or acquire,Cooperated campaign issue,Invoice related request,Offers / Vouchers / Promotions,Other download/install/update issue,Others,Personal data,Query deduction details,Refund,Risk Control,Subscription cancellation,UI Abnormal in Huawei AppGallery
Can't install Apps,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Can't update Apps,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Can't use or acquire,0,0,3,0,0,0,0,0,0,0,0,0,1,0
Cooperated campaign issue,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Invoice related request,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Offers / Vouchers / Promotions,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Other download/install/update issue,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Others,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Personal data,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Query deduction details,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Refund,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Risk Control,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Subscription cancellation,0,0,1,1,3,0,0,0,0,0,0,2,4,0
UI Abnormal in Huawei AppGallery,0,0,0,0,0,0,0,0,0,0,0,0,0,1
